player,Total_Balls,Risk_Score,Risk_Level
V Kohli,6236,62.36,High
S Dhawan,5483,54.83,High
RG Sharma,5183,51.83,High
DA Warner,4849,48.49,High
R Ashwin,4679,46.79,High
SK Raina,4177,41.77,High
SP Narine,4146,41.46,High
B Kumar,4060,40.6,High
MS Dhoni,3947,39.47,High
RV Uthappa,3927,39.27,High
RA Jadeja,3895,38.95,High
PP Chawla,3895,38.95,High
AM Rahane,3858,38.58,High
KD Karthik,3687,36.87,High
YS Chahal,3628,36.28,High
KL Rahul,3578,35.78,High
G Gambhir,3524,35.24,High
CH Gayle,3516,35.16,High
Harbhajan Singh,3496,34.96,High
AT Rayudu,3490,34.9,High
AB de Villiers,3487,34.87,High
A Mishra,3444,34.44,High
F du Plessis,3435,34.35,High
DJ Bravo,3296,32.96,High
MK Pandey,3288,32.88,High
SV Samson,3270,32.7,High
UT Yadav,3190,31.9,High
JJ Bumrah,3185,31.85,High
AR Patel,3152,31.52,High
SL Malinga,2974,29.74,High
Sandeep Sharma,2925,29.25,High
Rashid Khan,2901,29.01,High
SR Watson,2892,28.92,High
P Kumar,2637,26.37,High
SS Iyer,2545,25.45,High
SA Yadav,2522,25.22,High
Mohammed Shami,2521,25.21,High
JC Buttler,2519,25.19,High
KA Pollard,2447,24.47,High
PA Patel,2442,24.42,High
Shubman Gill,2432,24.32,High
I Sharma,2429,24.29,High
TA Boult,2428,24.28,High
Q de Kock,2410,24.1,High
RA Jadeja,2378,23.78,High
WP Saha,2368,23.68,High
YK Pathan,2334,23.34,High
MM Sharma,2308,23.08,High
RR Pant,2296,22.96,High
JH Kallis,2291,22.91,High
HV Patel,2284,22.84,High
DW Steyn,2282,22.82,High
Z Khan,2276,22.76,High
BB McCullum,2272,22.72,High
M Vijay,2208,22.08,High
Yuvraj Singh,2207,22.07,High
JD Unadkat,2194,21.94,High
R Vinay Kumar,2186,21.86,High
KH Pandya,2183,21.83,High
DA Miller,2171,21.71,High
SR Watson,2137,21.37,High
IK Pathan,2113,21.13,High
Mohammed Siraj,2081,20.81,High
MA Agarwal,2081,20.81,High
SR Tendulkar,2044,20.44,High
N Rana,2015,20.15,High
SPD Smith,1999,19.99,High
Ishan Kishan,1991,19.91,High
SN Thakur,1979,19.79,High
A Nehra,1974,19.74,High
PP Ojha,1945,19.45,High
R Dravid,1918,19.18,High
SE Marsh,1913,19.13,High
K Rabada,1907,19.07,High
DS Kulkarni,1876,18.76,High
RP Singh,1874,18.74,High
GJ Maxwell,1842,18.42,High
V Sehwag,1833,18.33,High
HH Pandya,1814,18.14,High
JA Morkel,1807,18.07,High
DR Smith,1803,18.03,High
CH Morris,1801,18.01,High
JH Kallis,1799,17.99,High
Kuldeep Yadav,1786,17.86,High
RD Gaikwad,1781,17.81,High
AD Russell,1771,17.71,High
DL Chahar,1746,17.46,High
KS Williamson,1734,17.34,High
M Morkel,1699,16.99,High
RD Chahar,1697,16.97,High
AJ Finch,1696,16.96,High
JP Duminy,1680,16.8,High
R Bhatia,1661,16.61,High
RA Tripathi,1650,16.5,High
MEK Hussey,1648,16.48,High
CV Varun,1624,16.24,High
AB Dinda,1589,15.89,High
KA Pollard,1586,15.86,High
M Muralitharan,1581,15.81,High
L Balaji,1574,15.74,High
SK Trivedi,1557,15.57,High
AC Gilchrist,1555,15.55,High
DPMD Jayawardene,1522,15.22,High
KV Sharma,1520,15.2,High
AD Russell,1515,15.15,High
Shakib Al Hasan,1515,15.15,High
MK Tiwary,1489,14.89,Medium
HH Pandya,1485,14.85,Medium
Ravi Bishnoi,1460,14.6,Medium
Arshdeep Singh,1453,14.53,Medium
S Nadeem,1444,14.44,Medium
KC Sangakkara,1424,14.24,Medium
Mandeep Singh,1418,14.18,Medium
T Natarajan,1401,14.01,Medium
Avesh Khan,1390,13.9,Medium
MM Patel,1382,13.82,Medium
PJ Cummins,1370,13.7,Medium
MP Stoinis,1366,13.66,Medium
NV Ojha,1360,13.6,Medium
Mustafizur Rahman,1353,13.53,Medium
MJ McClenaghan,1346,13.46,Medium
KK Ahmed,1345,13.45,Medium
Imran Tahir,1340,13.4,Medium
SC Ganguly,1326,13.26,Medium
D Padikkal,1323,13.23,Medium
PP Shaw,1321,13.21,Medium
AR Patel,1318,13.18,Medium
MG Johnson,1301,13.01,Medium
SS Tiwary,1291,12.91,Medium
KH Pandya,1287,12.87,Medium
JP Faulkner,1287,12.87,Medium
TG Southee,1262,12.62,Medium
DJ Bravo,1247,12.47,Medium
S Badrinath,1245,12.45,Medium
S Kaul,1238,12.38,Medium
SM Curran,1234,12.34,Medium
M Prasidh Krishna,1231,12.31,Medium
SK Warne,1223,12.23,Medium
KK Nair,1192,11.92,Medium
YK Pathan,1184,11.84,Medium
M Kartik,1182,11.82,Medium
EJG Morgan,1181,11.81,Medium
DJ Hooda,1170,11.7,Medium
BJ Hodge,1153,11.53,Medium
N Pooran,1143,11.43,Medium
JM Bairstow,1132,11.32,Medium
SB Jakati,1101,11.01,Medium
DJ Hussey,1101,11.01,Medium
A Nortje,1097,10.97,Medium
YBK Jaiswal,1095,10.95,Medium
S Dube,1077,10.77,Medium
VR Aaron,1065,10.65,Medium
Washington Sundar,1064,10.64,Medium
JO Holder,1049,10.49,Medium
TM Dilshan,1047,10.47,Medium
KM Jadhav,1012,10.12,Medium
LH Ferguson,1002,10.02,Medium
S Gopal,1000,10.0,Medium
VR Iyer,1000,10.0,Medium
JC Archer,987,9.87,Medium
IK Pathan,985,9.85,Medium
SP Narine,984,9.84,Medium
A Kumble,983,9.83,Medium
MC Henriques,979,9.79,Medium
CA Lynn,974,9.74,Medium
GJ Maxwell,965,9.65,Medium
S Sreesanth,947,9.47,Medium
Iqbal Abdulla,943,9.43,Medium
R Sharma,935,9.35,Medium
SK Raina,930,9.3,Medium
Abhishek Sharma,925,9.25,Medium
MS Gony,925,9.25,Medium
DT Christian,922,9.22,Medium
B Lee,916,9.16,Medium
R Parag,909,9.09,Medium
PJ Sangwan,905,9.05,Medium
M Ashwin,898,8.98,Medium
NM Coulter-Nile,892,8.92,Medium
V Shankar,890,8.9,Medium
Yuvraj Singh,882,8.82,Medium
MA Starc,879,8.79,Medium
LMP Simmons,878,8.78,Medium
R Tewatia,866,8.66,Medium
RJ Harris,865,8.65,Medium
Y Venugopal Rao,865,8.65,Medium
M Vohra,863,8.63,Medium
SO Hetmyer,854,8.54,Medium
MM Ali,849,8.49,Medium
LRPL Taylor,847,8.47,Medium
ML Hayden,839,8.39,Medium
HH Gibbs,837,8.37,Medium
TU Deshpande,831,8.31,Medium
MP Stoinis,831,8.31,Medium
Tilak Varma,830,8.3,Medium
AB Agarkar,820,8.2,Medium
AD Mathews,807,8.07,Medium
MC Henriques,801,8.01,Medium
R Tewatia,788,7.88,Medium
S Aravind,788,7.88,Medium
AK Markram,787,7.87,Medium
DL Vettori,785,7.85,Medium
A Symonds,781,7.81,Medium
P Awana,774,7.74,Medium
CL White,774,7.74,Medium
MM Ali,770,7.7,Medium
B Sai Sudharsan,770,7.7,Medium
WD Parnell,758,7.58,Medium
KP Pietersen,758,7.58,Medium
MS Bisla,737,7.37,Medium
M Markande,737,7.37,Medium
P Negi,733,7.33,Medium
BA Stokes,723,7.23,Medium
BA Stokes,718,7.18,Medium
CJ Jordan,717,7.17,Medium
NLTC Perera,715,7.15,Medium
AJ Tye,714,7.14,Medium
JA Morkel,712,7.12,Medium
J Botha,709,7.09,Medium
JP Duminy,701,7.01,Medium
STR Binny,700,7.0,Medium
R Ashwin,698,6.98,Medium
R Dhawan,693,6.93,Medium
Harpreet Brar,692,6.92,Medium
GC Smith,691,6.91,Medium
DP Nannes,689,6.89,Medium
Shivam Mavi,687,6.87,Medium
Navdeep Saini,682,6.82,Medium
PV Tambe,674,6.74,Medium
SM Curran,673,6.73,Medium
DP Conway,669,6.69,Medium
Shakib Al Hasan,665,6.65,Medium
RK Singh,654,6.54,Medium
Harbhajan Singh,636,6.36,Medium
M Theekshana,631,6.31,Medium
JR Hazlewood,622,6.22,Medium
Yash Dayal,615,6.15,Medium
H Klaasen,613,6.13,Medium
STR Binny,611,6.11,Medium
LS Livingstone,609,6.09,Medium
KK Cooper,600,6.0,Medium
DE Bollinger,600,6.0,Medium
AD Mathews,599,5.99,Medium
K Gowtham,599,5.99,Medium
MR Marsh,593,5.93,Medium
AM Nayar,588,5.88,Medium
TL Suman,587,5.87,Medium
CH Gayle,584,5.84,Medium
PP Chawla,580,5.8,Medium
Harmeet Singh,574,5.74,Medium
ST Jayasuriya,573,5.73,Medium
AS Rajpoot,567,5.67,Medium
DR Smith,557,5.57,Medium
PWH de Silva,557,5.57,Medium
GJ Bailey,552,5.52,Medium
Azhar Mahmood,552,5.52,Medium
Shahbaz Ahmed,549,5.49,Medium
A Symonds,540,5.4,Medium
Basil Thampi,539,5.39,Medium
RM Patidar,534,5.34,Medium
SW Tait,534,5.34,Medium
MR Marsh,532,5.32,Medium
P Simran Singh,528,5.28,Medium
Umran Malik,519,5.19,Medium
BB Sran,516,5.16,Medium
Noor Ahmad,513,5.13,Medium
Mohsin Khan,507,5.07,Medium
A Badoni,505,5.05,Medium
M Pathirana,503,5.03,Medium
JM Sharma,501,5.01,Medium
E Lewis,499,4.99,Low
M Jansen,487,4.87,Low
A Singh,486,4.86,Low
M Manhas,486,4.86,Low
C Green,472,4.72,Low
IC Pandey,469,4.69,Low
RS Bopara,468,4.68,Low
Shahbaz Ahmed,467,4.67,Low
GB Hogg,466,4.66,Low
JD Ryder,466,4.66,Low
CR Woakes,463,4.63,Low
C Green,462,4.62,Low
C Sakariya,460,4.6,Low
JJ Roy,460,4.6,Low
Kartik Tyagi,458,4.58,Low
TM Head,458,4.58,Low
SN Khan,456,4.56,Low
RE van der Merwe,455,4.55,Low
AS Joseph,454,4.54,Low
Mujeeb Ur Rahman,452,4.52,Low
RR Powar,443,4.43,Low
MF Maharoof,441,4.41,Low
A Mishra,440,4.4,Low
Bipul Sharma,436,4.36,Low
CJ Anderson,436,4.36,Low
Gurkeerat Singh,436,4.36,Low
J Suchith,434,4.34,Low
PC Valthaty,432,4.32,Low
Yash Thakur,432,4.32,Low
Anureet Singh,430,4.3,Low
A Zampa,425,4.25,Low
Mukesh Kumar,420,4.2,Low
Mohammad Nabi,419,4.19,Low
VG Arora,418,4.18,Low
HM Amla,418,4.18,Low
TH David,417,4.17,Low
RP Meredith,415,4.15,Low
CH Morris,413,4.13,Low
M Shahrukh Khan,413,4.13,Low
Abdul Samad,408,4.08,Low
DT Christian,408,4.08,Low
Naveen-ul-Haq,407,4.07,Low
JP Faulkner,406,4.06,Low
OA Shah,405,4.05,Low
Harshit Rana,403,4.03,Low
CA Pujara,403,4.03,Low
SW Billings,399,3.99,Low
J Yadav,398,3.98,Low
BW Hilfenhaus,390,3.9,Low
DR Sams,389,3.89,Low
MK Lomror,389,3.89,Low
PD Salt,385,3.85,Low
DJ Hooda,384,3.84,Low
JP Behrendorff,379,3.79,Low
Ankit Sharma,375,3.75,Low
R McLaren,372,3.72,Low
VRV Singh,371,3.71,Low
MJ Santner,370,3.7,Low
JR Hopes,369,3.69,Low
