player,Total_Balls
A Ashish Reddy,270
A Badoni,25
A Chandila,234
A Choudhary,108
A Dananjaya,25
A Flintoff,66
A Kamboj,68
A Kumble,983
A Mishra,3444
A Mithun,312
A Nehra,1974
A Nel,18
A Nortje,1097
A Singh,486
A Symonds,540
A Uniyal,38
A Zampa,425
AA Chavan,255
AA Jhunjhunwala,88
AA Kazi,13
AA Noffke,25
AB Agarkar,820
AB Dinda,1589
AB McDonald,188
AC Gilchrist,1
AC Thomas,327
AC Voges,56
AD Mascarenhas,310
AD Mathews,807
AD Russell,1771
AF Milne,217
AG Murtaza,269
AJ Finch,44
AJ Hosein,24
AJ Tye,714
AK Markram,123
AL Menaria,113
AM Nayar,239
AM Rahane,6
AM Salvi,156
AN Ahmed,362
AP Dole,73
AR Patel,3152
AS Joseph,454
AS Rajpoot,567
AS Raut,30
AS Roy,142
AU Rashid,60
AUK Pathan,41
Abdul Samad,55
Abdur Razzak,14
Abhishek Sharma,278
Akash Deep,175
Akash Madhwal,279
Akash Singh,141
Aman Hakim Khan,6
Anand Rajan,162
Ankit Sharma,375
Ankit Soni,112
Anureet Singh,430
Arjun Tendulkar,83
Arshad Khan,153
Arshad Khan (2),13
Arshdeep Singh,1453
Atharva Taide,1
Avesh Khan,1390
Azhar Mahmood,552
Azmatullah Omarzai,131
B Akhil,193
B Chipli,6
B Geeves,49
B Kumar,4060
B Laughlin,179
B Lee,916
B Stanlake,150
BA Bhatt,303
BA Stokes,723
BAW Mendis,248
BB Sran,516
BCJ Cutting,288
BE Hendricks,157
BJ Hodge,238
BJ Rohrer,7
BMAJ Mendis,30
BW Hilfenhaus,390
Basil Thampi,539
Bipul Sharma,436
C Ganapathy,6
C Green,462
C Munro,12
C Nanda,50
C Sakariya,460
C de Grandhomme,230
CH Gayle,584
CH Morris,1801
CJ Anderson,315
CJ Dala,19
CJ Green,17
CJ Jordan,717
CJ McKay,42
CK Kapugedera,17
CK Langeveldt,165
CL White,46
CR Brathwaite,266
CR Woakes,463
CRD Fernando,249
CV Varun,1624
D Brevis,3
D Jansen,28
D Kalyankrishna,50
D Pretorius,166
D Salunkhe,51
D Wiese,307
D du Preez,43
DA Warner,2
DAJ Bracewell,25
DB Ravi Teja,18
DE Bollinger,600
DG Nalkande,89
DJ Bravo,3296
DJ Harris,18
DJ Hooda,384
DJ Hussey,323
DJ Mitchell,51
DJ Muthuswami,84
DJ Thornely,44
DJ Willey,221
DJG Sammy,244
DJM Short,18
DL Chahar,1746
DL Vettori,785
DNT Zoysa,69
DP Nannes,689
DP Vijaykumar,159
DR Sams,389
DR Smith,557
DS Kulkarni,1876
DT Christian,922
DW Steyn,2282
F du Plessis,6
FA Allen,91
FH Edwards,150
FY Fazal,12
Fazalhaq Farooqi,162
G Coetzee,216
GB Hogg,466
GC Viljoen,146
GD McGrath,329
GD Phillips,31
GH Vihari,43
GHS Garton,97
GJ Maxwell,965
GR Napier,24
GS Sandhu,48
Gagandeep Singh,84
Gulbadin Naib,6
Gurkeerat Singh,82
Gurnoor Brar,21
H Sharma,30
HF Gurney,169
HH Pandya,1485
HR Shokeen,213
HV Patel,2284
Harbhajan Singh,3496
Harmeet Singh,574
Harpreet Brar,692
Harshit Rana,403
I Malhotra,6
I Sharma,2429
I Udana,182
IC Pandey,469
IC Porel,26
IK Pathan,2113
IS Sodhi,182
Imran Tahir,1340
Iqbal Abdulla,943
J Botha,709
J Little,236
J Suchith,434
J Syed Mohammad,196
J Theron,235
J Yadav,398
JA Morkel,1807
JA Richardson,94
JC Archer,987
JD Ryder,241
JD Unadkat,2194
JDP Oram,244
JDS Neesham,222
JE Root,12
JE Taylor,122
JEC Franklin,155
JH Kallis,1799
JJ Bumrah,3185
JJ van der Wath,76
JL Pattinson,222
JM Kemp,47
JO Holder,1049
JP Behrendorff,379
JP Duminy,701
JP Faulkner,1287
JPR Scantlebury-Searles,45
JR Hazlewood,622
JR Hopes,369
JW Hastings,61
Jalaj S Saxena,18
Jaskaran Singh,111
Joginder Sharma,272
K Goel,67
K Gowtham,599
K Kartikeya,241
K Khejroliya,129
K Rabada,1907
K Santokie,51
K Upadhyay,56
K Yadav,54
KA Jamieson,179
KA Maharaj,36
KA Pollard,1586
KAJ Roach,52
KC Cariappa,224
KH Pandya,2183
KJ Abbott,102
KK Ahmed,1345
KK Cooper,600
KL Nagarkoti,185
KM Asif,143
KMA Paul,180
KMDN Kulasekara,107
KP Appanna,222
KP Pietersen,180
KR Mayers,46
KR Sen,255
KS Williamson,18
KT Maphaka,39
KV Sharma,1520
KW Richardson,345
Kamran Khan,177
Karanveer Singh,213
Kartik Tyagi,458
Kuldeep Yadav,1786
L Ablish,45
L Balaji,1574
L Ngidi,342
L Wood,38
LA Carseldine,7
LB Williams,42
LE Plunkett,154
LH Ferguson,1002
LI Meriwala,19
LJ Wright,75
LMP Simmons,18
LPC Silva,6
LR Shukla,326
LRPL Taylor,13
LS Livingstone,267
Lalit Yadav,294
M Ashwin,898
M Jansen,487
M Kartik,1182
M Manhas,42
M Markande,737
M Morkel,1699
M Muralitharan,1581
M Ntini,213
M Pathirana,503
M Prasidh Krishna,1231
M Shahrukh Khan,12
M Siddharth,58
M Theekshana,631
M Vijay,37
M de Lange,116
MA Khote,30
MA Starc,879
MA Wood,127
MB Parmar,19
MC Henriques,979
MF Maharoof,441
MG Bracewell,66
MG Johnson,1301
MG Neser,25
MJ Clarke,66
MJ Henry,105
MJ McClenaghan,1346
MJ Santner,370
MJ Suthar,12
MK Lomror,94
MK Tiwary,45
MM Ali,770
MM Patel,1382
MM Sharma,2308
MN Samuels,219
MP Stoinis,831
MP Yadav,76
MR Marsh,593
MS Gony,925
MW Short,25
Mandeep Singh,12
Mashrafe Mortaza,28
Mayank Dagar,138
Mohammad Asif,199
Mohammad Hafeez,63
Mohammad Nabi,419
Mohammed Shami,2521
Mohammed Siraj,2081
Mohit Rathee,12
Mohsin Khan,507
Monu Kumar,16
Mujeeb Ur Rahman,452
Mukesh Choudhary,298
Mukesh Kumar,420
Mustafizur Rahman,1353
N Burger,105
N Rana,185
N Thushara,172
N Wadhera,12
NA Saini,15
NB Singh,25
ND Doshi,57
NJ Rimmington,18
NL McCullum,30
NLTC Perera,715
NM Coulter-Nile,892
NT Ellis,365
Naman Dhir,29
Navdeep Saini,682
Naveen-ul-Haq,407
Nithish Kumar Reddy,118
Noor Ahmad,513
O Thomas,63
OC McCoy,180
OF Smith,95
P Amarnath,132
P Awana,774
P Dubey,67
P Kumar,2637
P Negi,733
P Parameswaran,159
P Prasanth,6
P Ray Barman,24
P Sahu,107
P Suyal,107
PC Valthaty,153
PD Collingwood,90
PH Solanki,36
PJ Cummins,1370
PJ Sangwan,905
PM Sarvesh Kumar,31
PP Chawla,3895
